subject_id,session_number,run_number,trial_number,inner_trial_number,timestamp_seconds,cursor_pos_x,cursor_pos_y,target_label,target_pos_x,target_pos_y,arm_prediction_label
S01,0,2,1,1,0.0,0,0,3,432.0,0.0,0
S01,0,2,1,1,0.125,0,0,3,432.0,0.0,0
S01,0,2,1,1,0.25,0,0,3,432.0,0.0,0
S01,0,2,1,1,0.375,0,0,3,432.0,0.0,0
S01,0,2,1,1,0.5,-14,2,3,432.0,0.0,7
S01,0,2,1,1,0.625,-25,16,3,432.0,0.0,0
S01,0,2,1,1,0.75,11,20,3,432.0,0.0,2
S01,0,2,1,1,0.875,32,16,3,432.0,0.0,2
S01,0,2,1,1,1.0,57,6,3,432.0,0.0,3
S01,0,2,1,1,1.125,57,-9,3,432.0,0.0,3
S01,0,2,1,1,1.25,35,-11,3,432.0,0.0,3
S01,0,2,1,1,1.375,8,2,3,432.0,0.0,3
S01,0,2,1,1,1.5,-4,-14,3,432.0,0.0,5
S01,0,2,1,1,1.625,-11,-18,3,432.0,0.0,6
S01,0,2,1,1,1.75,1,-5,3,432.0,0.0,5
S01,0,2,1,1,1.875,26,-3,3,432.0,0.0,3
S01,0,2,1,1,2.0,47,-17,3,432.0,0.0,3
S01,0,2,1,2,0.0,0,0,3,432.0,0.0,0
S01,0,2,1,2,0.125,0,0,3,432.0,0.0,0
S01,0,2,1,2,0.25,0,0,3,432.0,0.0,0
S01,0,2,1,2,0.375,0,0,3,432.0,0.0,0
S01,0,2,1,2,0.5,19,-11,3,432.0,0.0,4
S01,0,2,1,2,0.625,37,-5,3,432.0,0.0,3
S01,0,2,1,2,0.75,65,-3,3,432.0,0.0,3
S01,0,2,1,2,0.875,85,6,3,432.0,0.0,3
S01,0,2,1,2,1.0,68,36,3,432.0,0.0,2
S01,0,2,1,2,1.125,55,31,3,432.0,0.0,2
S01,0,2,1,2,1.25,40,16,3,432.0,0.0,2
S01,0,2,1,2,1.375,26,0,3,432.0,0.0,3
S01,0,2,1,2,1.5,37,20,3,432.0,0.0,2
S01,0,2,1,2,1.625,28,55,3,432.0,0.0,2
S01,0,2,1,2,1.75,8,50,3,432.0,0.0,1
S01,0,2,1,2,1.875,-18,41,3,432.0,0.0,0
S01,0,2,1,2,2.0,-35,38,3,432.0,0.0,0
S01,0,2,1,3,0.0,0,0,1,0.0,432.0,0
S01,0,2,1,3,0.125,0,0,1,0.0,432.0,0
S01,0,2,1,3,0.25,0,0,1,0.0,432.0,0
